,metro,price
172,Подольск,150441
115,Марк,160238
243,Улица Старокачаловская,162162
222,Теплый Стан,164168
145,Одинцово,166127
9,Аникеевка,170604
245,Филатов Луг,174316
266,Щербинка,176505
36,Бутово,179350
203,Силикатная,179514
196,Саларьево,179569
153,Остафьево,182694
100,Курьяново,183146
129,Москворечье,188119
151,Ольховая,188859
35,Бунинская аллея,189357
188,Рассказовка,192845
113,Лухмановская,193006
103,Лермонтовский проспект,196161
108,Лобня,196180
134,Некрасовка,198031
58,Депо,198865
81,Коммунарка,199506
5,Алма-Атинская,199591
10,Аннино,199643
193,Румянцево,200660
239,Улица Дмитриевского,200736
26,Битцевский парк,203046
269,Юго-Восточная,205533
62,Долгопрудная,206006
66,Жулебино,207156
185,Пятницкое шоссе,208171
46,Волжская,209013
160,Партизанская,209302
91,Красный Строитель,209382
238,Улица Горчакова,210690
52,Выхино,210903
152,Орехово,212270
47,Волоколамская,212564
179,Прокшино,213061
177,Пражская,213752
192,Ростокино,213954
221,Текстильщики,214241
254,Царицыно,214829
24,Бибирево,214960
29,Боровское шоссе,215908
118,Марьино,216104
32,Бульвар Адмирала Ушакова,216578
209,Солнцево,217303
56,Дегунино,217814
27,Борисово,217850
136,Новогиреево,218069
162,Перерва,218428
143,Новоясеневская,220459
173,Покровское,220478
85,Котельники,221082
169,Площадь Гагарина,222727
114,Люблино,222928
33,Бульвар Дмитрия Донского,223095
39,Варшавская,223752
197,Свиблово,224897
140,Новопеределкино,225080
97,Кузьминки,225190
106,Лианозово,225920
202,Сетунь,226028
63,Домодедовская,226146
142,Новохохловская,226333
138,Новокосино,227363
51,Выставочный центр,228100
207,Соколиная гора,228207
31,Братиславская,229813
69,Зябликово,230938
6,Алтуфьево,231289
104,Лесопарковая,231652
264,Шоссе Энтузиастов,232209
263,Шипиловская,232230
194,Рязанский проспект,232853
189,Речной вокзал,233057
272,Ясенево,233328
227,Трикотажная,234855
265,Щелковская,235232
148,Окская,235254
154,Отрадное,237828
23,Бескудниково,237878
120,Медведково,237998
200,Семеновская,238007
124,Митино,238285
161,Первомайская,238949
135,Нижегородская,240391
242,Улица Скобелевская,241006
41,Верхние котлы,244042
163,Перово,244100
76,Каширская,245844
74,Кантемировская,248407
250,Ховрино,248648
271,Южная,248870
217,Сходненская,251059
42,Владыкино,253684
53,Говорово,253722
165,Петровско-Разумовская,254830
84,Коптево,254845
13,Бабушкинская,255594
168,Планерная,255871
30,Ботанический сад,255898
237,Улица Академика Янгеля,256019
54,Гражданская,256097
0,Авиамоторная,257218
174,Покровское-Стрешнево,258545
137,Новодачная,259181
40,Верхние Лихоборы,259743
146,Озерная,259963
213,Стахановская,260342
199,Селигерская,260631
109,Локомотив,262505
186,Рабочий поселок,262735
233,Угрешская,263304
72,Калитники,263726
20,Беломорская,264496
256,Черкизовская,264742
166,Печатники,266055
83,Коньково,266966
105,Лефортово,267770
79,Кожуховская,267983
198,Севастопольская,268142
71,Измайловская,268842
240,Улица Милашенкова,268869
117,Марьина роща,270261
257,Чертановская,271752
34,Бульвар Рокоссовского,272774
73,Калужская,273146
157,Панфиловская,275029
224,Технопарк,275728
37,Бутырская,277367
86,Красногвардейская,277901
214,Строгино,278219
232,Тушинская,279202
44,Войковская,279926
70,Измайлово,280128
82,Комсомольская,281461
268,Электрозаводская,282073
7,Аминьевское шоссе,282400
80,Коломенская,282429
90,Красный Балтиец,282443
126,Мневники,282450
19,Белокаменная,283245
125,Мичуринский проспект,286572
130,Нагатинская,286623
22,Беляево,288019
164,Петровский Парк,288183
1,Автозаводская,288657
178,Преображенская площадь,288971
8,Андроновка,292083
248,Фонвизинская,292122
241,Улица Сергея Эйзенштейна,295016
132,Народное ополчение,297362
225,Тимирязевская,299264
191,Римская,300145
190,Рижская,301593
68,Зорге,303317
60,Дмитровская,303451
133,Нахимовский проспект,304233
235,Улица 800-летия Москвы,304305
175,Полежаевская,304971
45,Волгоградский проспект,305996
38,ВДНХ,306263
43,Водный стадион,306445
180,Пролетарская,308433
147,Окружная,309597
55,Давыдково,312358
170,Площадь Ильича,314276
127,Молодежная,314817
88,Красносельская,315975
144,Новые Черемушки,319828
2,Академическая,320796
228,Тропарево,320837
210,Спартак,321206
195,Савеловская,321611
14,Багратионовская,322163
252,Хорошевская,322883
270,Юго-Западная,325088
95,Крымская,325531
251,Хорошево,328920
67,ЗИЛ,329705
128,Москва-Товарная,329907
75,Каховская,334662
183,Профсоюзная,336696
4,Алексеевская,337604
65,Дубровка,339011
150,Октябрьское поле,343337
17,Бауманская,343580
18,Беговая,343793
131,Нагорная,347050
181,Проспект Вернадского,349680
230,Тульская,360873
246,Филевский парк,361103
167,Пионерская,363746
262,Шелепиха,365113
208,Сокольники,369993
116,Марксистская,375701
206,Сокол,376122
59,Динамо,379768
107,Лихоборы,385902
49,Воронцовская,388335
15,Балтийская,395448
253,ЦСКА,408218
247,Фили,415127
267,Щукинская,416720
92,Крестьянская застава,418750
187,Раменки,419056
98,Кунцевская,424829
94,Крылатское,435961
201,Серпуховская,447130
156,Павелецкая,456234
112,Лужники,459184
204,Славянский бульвар,460676
12,Аэропорт,464376
102,Ленинский проспект,472856
215,Студенческая,475101
21,Белорусская,480054
261,Шаболовская,489981
236,Улица Академика Королева,509259
122,Менделеевская,511900
244,Университет,514285
101,Кутузовская,520236
223,Тестовская,529487
216,Сухаревская,542174
182,Проспект Мира,562813
48,Воробьевы горы,567078
159,Парк Победы,567585
234,Улица 1905 года,569986
255,Цветной бульвар,575044
110,Ломоносовский проспект,583236
50,Выставочная,597221
121,Международная,601778
64,Достоевская,616099
28,Боровицкая,616174
123,Минская,658764
99,Курская,661360
231,Тургеневская,665501
57,Деловой центр,666385
260,Чкаловская,676081
89,Красные ворота,732560
119,Маяковская,747960
77,Киевская,765924
141,Новослободская,782776
258,Чеховская,783655
78,Китай-город,802641
259,Чистые пруды,811961
212,Сретенский бульвар,817002
229,Трубная,824385
139,Новокузнецкая,876405
61,Добрынинская,907203
96,Кузнецкий мост,977134
218,Таганская,984226
205,Смоленская,985904
149,Октябрьская,995908
176,Полянка,1026507
87,Краснопресненская,1028916
219,Тверская,1048943
226,Третьяковская,1105492
211,Спортивная,1110879
184,Пушкинская,1162900
249,Фрунзенская,1172522
93,Кропоткинская,1208486
25,Библиотека им. Ленина,1243880
155,Охотный ряд,1300921
3,Александровский сад,1312811
158,Парк Культуры,1351812
11,Арбатская,1442914
111,Лубянка,1535284
220,Театральная,1602201
171,Площадь Революции,1725465
16,Баррикадная,2083519
